ID_Ticket,Fecha_Hora,RUT_Cliente,Mesa,Producto_Categoria,Producto_Detail,Cantidad,Precio_Unitario_IVA,Metodo_Pago
TX-20013,02/01/2025 09:27,Consumidor Final,Mesa 6,Cafés,Flat White,2.0,3000,Crédito
TX-20014,2025-01-02 09:28:29,Consumidor Final,Mesa 6,SANDWICH,Mechada Queso,3.0,5490,Débito
TX-20014,2025-01-02 09:34:44,Consumidor Final,Mesa 6,Sandwichería,Croissant J/Q,3.0,4500,Débito
TX-20014,2025-01-02 09:43:32,Consumidor Final,Mesa 6,bebestibles,matcha latte,1.0,$ 3.600,Débito
TX-20015,2025-01-02 09:43:40,Consumidor Final,Mesa 9,Sandwichería,sandwich mechada queso,3.0,$ 5.490,Efectivo
TX-20015,2025-01-02 09:43:48,Consumidor Final,Mesa 9,Cafe,espresso doble,1.0,2490,Efectivo
TX-20015,2025-01-02 09:47:49,Consumidor Final,Mesa 9,Cafés,cafe americano,1.0,2200,Efectivo
TX-20016,2025-01-02 09:48:33,Consumidor Final,Para Llevar,SANDWICH,sandwich mechada queso,1.0,5490,Efectivo
TX-20016,2025-01-02 09:55:11,Consumidor Final,Para Llevar,Repostería,Medialunas Manjar,2.0,1600,Efectivo
TX-20016,02/01/2025 10:07,Consumidor Final,Para Llevar,Bebestible,Leche con Plátano,1.0,2700,Efectivo
TX-20017,2025-01-02 10:07:50,Consumidor Final,Mesa 9,Cafe,Té Negro,1.0,2100,Crédito
TX-20017,2025-01-02 10:11:35,Consumidor Final,Mesa 9,PASTELERIA,Medialuna Dulce ,1.0,1400,Crédito
TX-20017,2025-01-02 10:28:00,Consumidor Final,Mesa 9,Cafés,Flatwhite,1.0,3000,Crédito
TX-20017,2025-01-02 10:28:00,Consumidor Final,Mesa 9,Cafés,Flatwhite,1.0,3000,Crédito
TX-20018,2025-01-02 11:16:27,Consumidor Final,Para Llevar,Cafés,cafe latte ,1.0,3200,Débito
TX-20018,02/01/2025 14:50,Consumidor Final,Para Llevar,Sandwichería,Aliado,1.0,3800,Débito
TX-20018,2025-01-02 15:07:41,Consumidor Final,Para Llevar,Bebestibles,Té Matcha Latte,1.0,3600,Débito
TX-20019,2025-01-02 18:03:36,16443882-1,Mesa 1,CAFÉ,CAFÉ LATTE,1.0,3200,Débito
TX-20019,2025-01-02 18:33:23,16443882-1,Mesa 1,reposteria,medialuna manjar,1.0,$ 1.600,Débito
TX-20019,02/01/2025 18:34,16443882-1,Mesa 1,cafes,Flat White,1.0,3000,Débito
TX-20020,2025-01-02 18:48:22,Consumidor Final,Mesa 5,Repostería,donas,1.0,2200,Crédito
TX-20020,2025-01-02 18:52:48,Consumidor Final,Mesa 5,Bebestibles,Jugo Naranja Natural,1.0,2990,Crédito
TX-20020,2025-01-02 18:57:37,Consumidor Final,Mesa 5,SANDWICH,CROISSANT MECHADA,3.0,5690,Crédito
TX-20021,45659.8006,Consumidor Final,Mesa 8,sandwicheria,Croissant Mechada Queso,2.0,5690,Débito
TX-20021,2025-01-02 19:13:07,Consumidor Final,Mesa 8,Sándwiches,croissant caprese,1.0,$ 4.790,Débito
TX-20021,2025-01-02 19:22:21,Consumidor Final,Mesa 8,CAFÉ,MOCA,3.0,3400,Débito
TX-20022,45659.8125,Consumidor Final,Para Llevar,Reposteria ,MUFFIN VAINILLA,3.0,2100,Débito
TX-20022,2025-01-02 19:43:59,Consumidor Final,Para Llevar,bebestibles,Jugo Naranja Natural,1.0,$ 2.990,Débito
TX-20022,02/01/2025 19:44,Consumidor Final,Para Llevar,Bebestible,Leche Plátano,1.0,2700,Débito
TX-20023,2025-01-02 19:49:46,Consumidor Final,Mesa 7,sandwicheria,Sándwich Caprese,2.0,$ 4.990,Débito
TX-20023,45659.8296,Consumidor Final,Mesa 7,Cafe,Té Verde,1.0,$ 2.100,Débito
TX-20023,2025-01-03 08:28:36,Consumidor Final,Mesa 7,Sandwichería,sandwich mechada queso,3.0,5490,Débito
TX-20024,2025-01-03 09:05:42,Consumidor Final,Para Llevar,Sandwichería,croissant mechada,2.0,5690,Crédito
TX-20024,2025-01-03 09:06:18,Consumidor Final,Para Llevar,SANDWICH,Sándwich Jamón-Queso,3.0,$ 3.800,Crédito
TX-20024,45660.3809,Consumidor Final,Para Llevar,cafes,Capu ,3.0,3100,Crédito
TX-20025,2025-01-03 09:20:29,Consumidor Final,Mesa 9,cafes,TE NEGRO,1.0,2100,Débito
TX-20025,03/01/2025 09:24,Consumidor Final,Mesa 9,Sándwiches,croissant caprese,2.0,4790,Débito
TX-20025,2025-01-03 09:25:13,Consumidor Final,Mesa 9,Bebestibles,Jugo de Piña,1.0,$ 2.990,Débito
TX-20026,03/01/2025 09:31,Consumidor Final,Mesa 5,sandwicheria,CROISSANT CAPRESE,2.0,4790,Débito
TX-20026,03/01/2025 09:33,Consumidor Final,Mesa 5,BEBIDAS,Leche con Plátano,1.0,$ 2.700,Débito
TX-20026,45660.4097,Consumidor Final,Mesa 5,PASTELERIA,dona rellena,1.0,2200,Débito
TX-20027,2025-01-03 09:52:02,Consumidor Final,Mesa 8,sandwicheria,croissant jq,1.0,4500,Crédito
TX-20027,03/01/2025 09:52,Consumidor Final,Mesa 8,Sándwiches,Sándwich Mechada Queso,1.0,5490,Crédito
TX-20027,03/01/2025 10:01,Consumidor Final,Mesa 8,cafes,Café Latte,1.0,$ 3.200,Crédito
TX-20028,45660.4259,98765432-1,Mesa 5,Reposteria ,Muffin Arandanos ,1.0,2100,Débito
TX-20028,2025-01-03 10:16:29,98765432-1,Mesa 5,bebestibles,matcha latte,1.0,3600,Débito
TX-20028,2025-01-03 10:20:24,98765432-1,Mesa 5,Sandwichería,Sándwich Mechada Queso,3.0,5490,Débito
TX-20029,45660.4341,Consumidor Final,Mesa 5,Repostería,muffin vainilla,1.0,2100,Débito
TX-20029,2025-01-03 10:29:20,Consumidor Final,Mesa 5,CAFÉ,Flat White,3.0,3000,Débito
TX-20029,2025-01-03 10:40:27,Consumidor Final,Mesa 5,Cafés,Flatwhite,3.0,3000,Débito
TX-20030,2025-01-03 12:31:50,Consumidor Final,Para Llevar,cafes,te negro,2.0,2100,Débito
TX-20030,03/01/2025 13:54,Consumidor Final,Para Llevar,Cafe,FLAT WHITE,2.0,3000,Débito
TX-20030,03/01/2025 14:29,Consumidor Final,Para Llevar,Repostería,medialuna,1.0,1400,Débito
TX-20031,2025-01-03 15:36:45,Consumidor Final,Mesa 7,Bebestibles,Leche con Plátano,1.0,2700,Crédito
TX-20031,45660.7501,Consumidor Final,Mesa 7,Bebestibles,JUGO PIÑA,1.0,2990,Crédito
TX-20031,03/01/2025 18:04,Consumidor Final,Mesa 7,Cafe,te blanco,1.0,2300,Crédito
TX-20032,2025-01-03 18:22:42,Consumidor Final,Mesa 4,CAFÉ,TE BLANCO,1.0,2300,Transferencia
TX-20032,2025-01-03 18:23:02,Consumidor Final,Mesa 4,bebestibles,jugo arandano,2.0,3100,Transferencia
TX-20032,45660.7703,Consumidor Final,Mesa 4,reposteria,muffin vainilla,1.0,$ 2.100,Transferencia
TX-20033,2025-01-03 18:39:07,Consumidor Final,Mesa 8,BEBIDAS,MATCHA LATTE,3.0,3600,Débito
TX-20033,2025-01-03 18:49:19,Consumidor Final,Mesa 8,Cafés,flat white,1.0,3000,Débito
TX-20033,2025-01-03 18:54:46,Consumidor Final,Mesa 8,BEBIDAS,Jugo Arándanos,1.0,3100,Débito
TX-20034,2025-01-03 19:09:29,Consumidor Final,Mesa 6,Repostería,WAFFLE MANJAR,2.0,3200,Efectivo
TX-20034,2025-01-03 19:12:05,Consumidor Final,Mesa 6,Cafe,Cafe Late,2.0,$ 3.200,Efectivo
TX-20034,2025-01-03 19:12:59,Consumidor Final,Mesa 6,Bebestible,Jugo de Piña,2.0,2990,Efectivo
TX-20035,2025-01-03 19:15:49,Consumidor Final,Mesa 8,reposteria,Muffin de Vainilla Natural,2.0,2100,Crédito
TX-20035,2025-01-03 19:15:49,Consumidor Final,Mesa 8,reposteria,Muffin de Vainilla Natural,2.0,2100,Crédito
TX-20035,2025-01-03 19:19:49,Consumidor Final,Mesa 8,BEBIDAS,Jugo Arándanos,1.0,3100,Crédito
TX-20035,45660.8099,Consumidor Final,Mesa 8,Bebestible,Jugo de Arándano,1.0,3100,Crédito
TX-20036,45660.8185,Consumidor Final,Para Llevar,PASTELERIA,Medialuna Dulce ,2.0,1400,Débito
TX-20036,2025-01-04 08:27:52,Consumidor Final,Para Llevar,Cafés,Té Blanco,1.0,$ 2.300,Débito
TX-20036,45661.38,Consumidor Final,Para Llevar,PASTELERIA,MUFFIN VAINILLA,1.0,2100,Débito
TX-20037,04/01/2025 09:09,Consumidor Final,Mesa 5,Reposteria ,Medialuna Dulce,1.0,1400,Débito
TX-20037,45661.387,Consumidor Final,Mesa 5,Bebestible,Leche Plátano,3.0,2700,Débito
TX-20037,2025-01-04 09:23:55,Consumidor Final,Mesa 5,reposteria,DONAS RELLENAS,2.0,2200,Débito
TX-20038,2025-01-04 09:30:24,Consumidor Final,Mesa 6,Reposteria ,Medialunas,2.0,1400,Débito
TX-20038,2025-01-04 09:33:54,Consumidor Final,Mesa 6,SANDWICH,croissant caprese,1.0,4790,Débito
TX-20038,04/01/2025 10:02,Consumidor Final,Mesa 6,CAFÉ,FLAT WHITE,1.0,3000,Débito
TX-20039,2025-01-04 10:15:35,Consumidor Final,Mesa 7,PASTELERIA,Waffle con Manjar,3.0,3200,Crédito
TX-20039,2025-01-04 10:16:18,Consumidor Final,Mesa 7,CAFÉ,TE NEGRO,2.0,2100,Crédito
TX-20039,2025-01-04 10:20:30,Consumidor Final,Mesa 7,cafes,Té Negro,2.0,2100,Crédito
TX-20040,45661.4335,Consumidor Final,Mesa 9,Sandwichería,Sándwich Mechada Queso,1.0,5490,Débito
TX-20040,2025-01-04 10:27:22,Consumidor Final,Mesa 9,Cafés,Mochaccino,3.0,3400,Débito
TX-20040,2025-01-04 10:44:39,Consumidor Final,Mesa 9,Repostería,Waffle con Manjar,1.0,3200,Débito
TX-20041,04/01/2025 11:17,Consumidor Final,Mesa 8,sandwicheria,sandwich mechada queso,2.0,5490,Débito
TX-20041,04/01/2025 11:27,Consumidor Final,Mesa 8,Repostería,Medialunas,3.0,1400,Débito
TX-20041,45661.4805,Consumidor Final,Mesa 8,Cafés,TE BLANCO,1.0,2300,Débito
TX-20042,04/01/2025 12:18,Consumidor Final,Mesa 6,Reposteria ,Medialunas,1.0,$ 1.400,Crédito
TX-20042,2025-01-04 13:04:02,Consumidor Final,Mesa 6,Cafés,Mocaccino,3.0,3400,Crédito
TX-20042,2025-01-04 13:16:03,Consumidor Final,Mesa 6,CAFÉ,te verde,1.0,2100,Crédito
TX-20043,2025-01-04 13:44:10,Consumidor Final,Mesa 5,Cafe,cafe latte ,2.0,3200,Débito
TX-20043,2025-01-04 14:09:06,Consumidor Final,Mesa 5,Reposteria ,Medialuna Manjar,1.0,$ 1.600,Débito
TX-20043,2025-01-04 14:34:32,Consumidor Final,Mesa 5,Cafés,Mochaccino,1.0,3400,Débito
TX-20044,45661.609,Consumidor Final,Mesa 6,CAFÉ,TE BLANCO,1.0,2300,Transferencia
TX-20044,2025-01-04 16:40:12,Consumidor Final,Mesa 6,Bebestibles,matcha latte,1.0,3600,Transferencia
TX-20044,2025-01-04 16:58:59,Consumidor Final,Mesa 6,Cafe,mocaccino,2.0,3400,Transferencia
TX-20045,2025-01-04 17:18:40,Consumidor Final,Mesa 7,Sandwichería,Sándwich Mechada Queso,3.0,5490,Crédito
TX-20045,2025-01-04 17:31:16,Consumidor Final,Mesa 7,CAFÉ,TE VERDE,1.0,2100,Crédito
TX-20045,2025-01-04 18:08:21,Consumidor Final,Mesa 7,PASTELERIA,Donas Rellenas,2.0,2200,Crédito
TX-20046,45661.7614,19332554-K,Mesa 7,Bebestibles,jugo naranja,1.0,$ 2.990,Débito
TX-20046,2025-01-04 18:28:02,19332554-K,Mesa 7,reposteria,Medialunas Manjar,1.0,1600,Débito
TX-20046,2025-01-04 18:37:29,19332554-K,Mesa 7,SANDWICH,Croissant J/Q,1.0,$ 4.500,Débito
TX-20047,04/01/2025 18:42,Consumidor Final,Mesa 1,Cafés,ESPRESSO DOBLE,2.0,2490,Débito
TX-20047,04/01/2025 19:03,Consumidor Final,Mesa 1,Cafés,TE NEGRO,2.0,2100,Débito
TX-20047,2025-01-04 19:16:38,Consumidor Final,Mesa 1,Bebestible,JUGO PIÑA,2.0,$ 2.990,Débito
TX-20048,2025-01-04 19:17:05,12345678-9,Mesa 8,PASTELERIA,waffle manjar,1.0,3200,Débito
TX-20048,2025-01-04 19:24:22,12345678-9,Mesa 8,sandwicheria,croissant caprese,1.0,4790,Débito
TX-20048,04/01/2025 19:30,12345678-9,Mesa 8,Cafe,espresso doble,1.0,2490,Débito
TX-20049,2025-01-04 19:31:25,Consumidor Final,Mesa 10,SANDWICH,CROISSANT CAPRESE,1.0,4790,Débito
TX-20049,45662.3578,Consumidor Final,Mesa 10,cafes,Té Blanco,2.0,2300,Débito
TX-20049,05/01/2025 09:04,Consumidor Final,Mesa 10,Bebestibles,jugo de piña,1.0,2990,Débito
TX-20050,2025-01-05 09:05:13,Consumidor Final,Mesa 1,Cafés,mocaccino,1.0,3400,Débito
TX-20050,2025-01-05 09:12:23,Consumidor Final,Mesa 1,PASTELERIA,medialuna manjar,3.0,$ 1.600,Débito
TX-20050,2025-01-05 09:12:23,Consumidor Final,Mesa 1,PASTELERIA,medialuna manjar,3.0,$ 1.600,Débito
TX-20050,2025-01-05 09:21:52,Consumidor Final,Mesa 1,Bebestible,JUGO PIÑA,3.0,2990,Débito
TX-20051,2025-01-05 09:30:00,Consumidor Final,Mesa 2,bebestibles,LECHE PLATANO,3.0,2700,Crédito
TX-20051,05/01/2025 09:30,Consumidor Final,Mesa 2,Cafe,Té Verde,1.0,2100,Crédito
TX-20051,2025-01-05 09:31:20,Consumidor Final,Mesa 2,BEBIDAS,LECHE PLATANO,3.0,2700,Crédito
TX-20052,2025-01-05 09:36:57,Consumidor Final,Mesa 7,Repostería,Donas Rellenas,2.0,$ 2.200,Crédito
TX-20052,2025-01-05 09:37:31,Consumidor Final,Mesa 7,CAFÉ,ESPRESSO DOBLE,3.0,2490,Crédito
TX-20052,2025-01-05 09:51:27,Consumidor Final,Mesa 7,Cafe,TE NEGRO,1.0,$ 2.100,Crédito
TX-20053,05/01/2025 09:51,Consumidor Final,Para Llevar,PASTELERIA,muffin arandano,1.0,2100,Débito
TX-20053,05/01/2025 10:05,Consumidor Final,Para Llevar,Cafe,CAFÉ LATTE,1.0,3200,Débito
TX-20053,2025-01-05 10:05:08,Consumidor Final,Para Llevar,Cafés,Espresso Doble,2.0,2490,Débito
TX-20054,2025-01-05 10:06:36,Consumidor Final,Mesa 6,Bebestibles,Té Matcha Latte,1.0,3600,Crédito
TX-20054,2025-01-05 10:07:47,Consumidor Final,Mesa 6,Bebestibles,Leche con Plátano,2.0,2700,Crédito
TX-20054,45662.4234,Consumidor Final,Mesa 6,Bebestibles,Té Matcha Latte,1.0,3600,Crédito
TX-20055,2025-01-05 10:12:43,Consumidor Final,Para Llevar,Cafés,AMERICANO,2.0,2200,Crédito
TX-20055,2025-01-05 10:13:39,Consumidor Final,Para Llevar,Cafe,cafe americano,2.0,2200,Crédito
TX-20055,2025-01-05 10:15:19,Consumidor Final,Para Llevar,PASTELERIA,Waffle con Manjar,3.0,3200,Crédito
TX-20056,05/01/2025 10:20,Consumidor Final,Para Llevar,CAFÉ,Espresso dbl,1.0,2490,Crédito
TX-20056,05/01/2025 10:20,Consumidor Final,Para Llevar,Reposteria ,muffin arandano,2.0,2100,Crédito
TX-20056,2025-01-05 10:28:31,Consumidor Final,Para Llevar,Cafés,TE NEGRO,1.0,2100,Crédito
TX-20057,2025-01-05 10:29:08,Consumidor Final,Mesa 4,Bebestible,Leche Plátano,1.0,$ 2.700,Débito
TX-20057,2025-01-05 10:36:02,Consumidor Final,Mesa 4,Sándwiches,CROISSANT MECHADA,1.0,5690,Débito
TX-20057,2025-01-05 11:15:59,Consumidor Final,Mesa 4,Repostería,WAFFLE MANJAR,1.0,3200,Débito
TX-20058,2025-01-05 13:48:14,11223344-5,Mesa 2,sandwicheria,Sandwich Caprese Ciabatta,1.0,$ 4.990,Transferencia
TX-20058,2025-01-05 15:32:27,11223344-5,Mesa 2,Cafés,ESPRESSO DOBLE,1.0,2490,Transferencia
TX-20058,2025-01-05 16:05:06,11223344-5,Mesa 2,PASTELERIA,Medialuna Dulce,1.0,1400,Transferencia
TX-20059,45662.7186,Consumidor Final,Mesa 1,BEBIDAS,JUGO PIÑA,1.0,$ 2.990,Débito
TX-20059,2025-01-05 18:00:27,Consumidor Final,Mesa 1,Sándwiches,croissant mechada,1.0,5690,Débito
TX-20059,05/01/2025 18:13,Consumidor Final,Mesa 1,BEBIDAS,Jugo de Arándano,3.0,3100,Débito
TX-20060,2025-01-05 18:22:34,Consumidor Final,Para Llevar,cafes,Cappuccino,2.0,$ 3.100,Crédito
TX-20060,2025-01-05 18:24:43,Consumidor Final,Para Llevar,Cafe,Flatwhite,3.0,$ 3.000,Crédito
TX-20060,45662.7731,Consumidor Final,Para Llevar,Cafés,TE VERDE,2.0,2100,Crédito
TX-20061,2025-01-05 18:36:24,Consumidor Final,Mesa 6,Repostería,muffin vainilla,2.0,2100,Débito
TX-20061,05/01/2025 18:37,Consumidor Final,Mesa 6,cafes,TE VERDE,2.0,2100,Débito
TX-20061,2025-01-05 18:41:08,Consumidor Final,Mesa 6,Sandwichería,CROISSANT CAPRESE,1.0,4790,Débito
TX-20062,2025-01-05 18:45:55,Consumidor Final,Para Llevar,Bebestibles,Jugo de Arándano,3.0,$ 3.100,Crédito
TX-20062,2025-01-05 18:47:00,Consumidor Final,Para Llevar,SANDWICH,Mechada Queso,1.0,5490,Crédito
TX-20062,45662.7833,Consumidor Final,Para Llevar,sandwicheria,croissant mechada,2.0,5690,Crédito
TX-20063,05/01/2025 18:49,Consumidor Final,Mesa 5,SANDWICH,croissant caprese,1.0,$ 4.790,Débito
TX-20063,2025-01-05 18:52:27,Consumidor Final,Mesa 5,SANDWICH,Croissant Caprese,1.0,4790,Débito
TX-20063,05/01/2025 18:54,Consumidor Final,Mesa 5,Bebestibles,JUGO NARANJA,1.0,2990,Débito
TX-20064,2025-01-05 19:04:11,Consumidor Final,Mesa 9,cafes,AMERICANO,1.0,2200,Crédito
TX-20064,2025-01-05 19:05:13,Consumidor Final,Mesa 9,Bebestible,jugo naranja,1.0,2990,Crédito
TX-20064,2025-01-05 19:08:19,Consumidor Final,Mesa 9,BEBIDAS,Jugo Naranja Natural,1.0,2990,Crédito
TX-20065,2025-01-05 19:14:45,Consumidor Final,Mesa 4,Reposteria ,Muffin de Vainilla Natural,1.0,2100,Débito
TX-20065,2025-01-05 19:15:21,Consumidor Final,Mesa 4,CAFÉ,te negro,3.0,$ 2.100,Débito
TX-20065,2025-01-05 19:16:58,Consumidor Final,Mesa 4,Cafés,FLAT WHITE,3.0,3000,Débito
TX-20066,2025-01-05 19:18:46,Consumidor Final,Mesa 7,Cafe,Té Blanco,3.0,2300,Débito
TX-20066,45662.8261,Consumidor Final,Mesa 7,PASTELERIA,muffin arandano,3.0,$ 2.100,Débito
TX-20066,2025-01-05 19:54:05,Consumidor Final,Mesa 7,Cafés,capuccino,1.0,3100,Débito
TX-20067,2025-01-05 19:54:45,98765432-1,Mesa 9,Cafés,te blanco,1.0,2300,Efectivo
TX-20067,06/01/2025 09:12,98765432-1,Mesa 9,BEBIDAS,JUGO PIÑA,2.0,$ 2.990,Efectivo
TX-20067,2025-01-06 09:20:50,98765432-1,Mesa 9,Repostería,medialuna manjar,1.0,1600,Efectivo
TX-20068,2025-01-06 09:23:05,Consumidor Final,Mesa 4,Cafe,TE BLANCO,1.0,$ 2.300,Crédito
TX-20068,2025-01-06 09:31:54,Consumidor Final,Mesa 4,Bebestibles,matcha latte,2.0,$ 3.600,Crédito
TX-20068,2025-01-06 09:33:23,Consumidor Final,Mesa 4,Bebestible,jugo de piña,1.0,$ 2.990,Crédito
TX-20069,2025-01-06 09:38:27,Consumidor Final,Para Llevar,Bebestible,jugo pina,1.0,2990,Efectivo
TX-20069,06/01/2025 09:39,Consumidor Final,Para Llevar,PASTELERIA,MUFFIN VAINILLA,2.0,2100,Efectivo
TX-20069,2025-01-06 09:54:35,Consumidor Final,Para Llevar,Repostería,medialuna manjar,2.0,1600,Efectivo
TX-20070,2025-01-06 10:02:17,55667788-9,Mesa 2,PASTELERIA,muffin arandano,1.0,2100,Débito
TX-20070,2025-01-06 10:06:23,55667788-9,Mesa 2,cafes,te verde,2.0,2100,Débito
TX-20070,06/01/2025 10:23,55667788-9,Mesa 2,BEBIDAS,Jugo de Piña,3.0,$ 2.990,Débito
TX-20071,2025-01-06 11:19:20,Consumidor Final,Mesa 1,Repostería,Muffin de Arándanos,1.0,2100,Débito
TX-20071,2025-01-06 11:28:18,Consumidor Final,Mesa 1,Sándwiches,Mechada Queso,1.0,5490,Débito
TX-20071,06/01/2025 12:57,Consumidor Final,Mesa 1,Bebestibles,Jugo de Arándano,1.0,$ 3.100,Débito
TX-20072,2025-01-06 15:27:20,Consumidor Final,Mesa 9,PASTELERIA,medialuna manjar,1.0,1600,Crédito
TX-20072,06/01/2025 16:06,Consumidor Final,Mesa 9,CAFÉ,Flat White,2.0,3000,Crédito
TX-20072,2025-01-06 17:15:11,Consumidor Final,Mesa 9,Reposteria ,Muffin de Vainilla Natural,1.0,2100,Crédito
TX-20073,2025-01-06 18:00:48,Consumidor Final,Mesa 6,Cafés,Té Blanco,2.0,2300,Débito
TX-20073,2025-01-06 18:38:08,Consumidor Final,Mesa 6,Cafe,te blanco,3.0,$ 2.300,Débito
TX-20073,2025-01-06 18:39:54,Consumidor Final,Mesa 6,Cafe,TE VERDE,3.0,2100,Débito
TX-20074,45663.785,Consumidor Final,Mesa 5,BEBIDAS,LECHE PLATANO,1.0,2700,Crédito
TX-20074,45663.785,Consumidor Final,Mesa 5,BEBIDAS,LECHE PLATANO,1.0,2700,Crédito
TX-20074,2025-01-06 19:14:12,Consumidor Final,Mesa 5,BEBIDAS,matcha latte,3.0,$ 3.600,Crédito
TX-20074,2025-01-06 19:17:56,Consumidor Final,Mesa 5,cafes,Café Latte,2.0,3200,Crédito
TX-20075,45663.8139,55667788-9,Mesa 7,SANDWICH,Aliado,1.0,$ 3.800,Efectivo
TX-20075,45663.8144,55667788-9,Mesa 7,CAFÉ,MOCA,1.0,3400,Efectivo
TX-20075,45663.8158,55667788-9,Mesa 7,Bebestible,Té Matcha Latte,3.0,3600,Efectivo
TX-20076,2025-01-06 19:38:10,Consumidor Final,Mesa 10,bebestibles,Jugo de Piña,1.0,2990,Débito
